1970,6.14
1971,5.89
1972,5.7
1973,5.37
1974,4.83
1975,4.43
1976,4.19
1977,3.93
1978,3.66
1979,3.28
1980,2.89
1981,2.62
1982,2.47
1983,2.39
1984,2.29
1985,2.22
1986,2.17
1987,2.1
1988,2.01
1989,1.92
1990,1.82
1991,1.75
1992,1.7
1993,1.65
1994,1.61
1995,1.56
1996,1.52
1997,1.49
1998,1.46
1999,1.43
2000,1.38
2001,1.35
2002,1.32
2003,1.3
2004,1.26
2005,1.22
2006,1.18
2007,1.15
2008,1.11
2009,1.11
2010,1.09
2011,1.06
2012,1.04
2013,1.02
2014,1
